,task_switching_nvcswch_s,task_switching_time,pagefaults_uid,kernel_statistics_kb_wr_s,kernel_tables_uid,task_switching_cswch_s,pagefaults_rss,threads_percent_usr,stack_utilization_time,kernel_statistics_kb_ccwr_s,policy_uid,threads_time,kernel_statistics_uid,cpu_statistics_uid,task_switching_uid,cpu_statistics_time,threads_uid,policy_time,pagefaults_vsz,pagefaults_time,stack_utilization_stkref,kernel_tables_time,threads_percent_system,cpu_statistics_cpu,pagefaults_majflt_s,kernel_statistics_time,threads_cpu,cpu_statistics_percent_cpu,cpu_statistics_percent_system,pagefaults_minflt_s,kernel_statistics_kb_rd_s,threads_percent_guest,stack_utilization_uid,stack_utilization_stksize,cpu_statistics_percent_guest,threads_percent_cpu,cpu_statistics_percent_usr,pagefaults_percent_mem,timepoint,rank
0,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
1,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
2,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
3,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
4,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
5,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
6,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
7,0.0,184057,0,0.0,0,0.0,3388,0.0,184057,0.0,0,184057,0,0,0,184056,0,184057,8808,184057,16,184057,0.0,3,0.0,184057,3,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,0.0,0.0
8,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
9,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
10,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
11,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
12,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
13,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
14,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
15,0.0,184100,0,0.0,0,0.0,3420,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184059,16,184100,0.0,4,0.0,184059,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,1.0,0.0
16,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
17,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
18,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
19,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
20,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
21,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
22,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
23,0.0,184103,0,0.0,0,0.0,3420,0.0,184102,0.0,0,184102,0,0,0,184102,0,184102,8808,184102,16,184103,0.0,4,0.0,184102,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,2.0,0.0
24,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
25,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
26,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
27,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
28,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
29,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
30,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
31,0.0,184105,0,0.0,0,0.0,3420,0.0,184105,0.0,0,184105,0,0,0,184105,0,184105,8808,184105,16,184105,0.0,4,0.0,184105,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,3.0,0.0
32,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
33,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
34,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
35,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
36,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
37,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
38,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
39,0.0,184108,0,0.0,0,0.0,3420,0.0,184108,0.0,0,184108,0,0,0,184108,0,184108,8808,184108,16,184108,0.0,4,0.0,184108,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,4.0,0.0
40,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
41,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
42,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
43,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
44,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
45,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
46,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
47,0.0,184111,0,0.0,0,0.0,3420,0.0,184111,0.0,0,184111,0,0,0,184110,0,184111,8808,184111,16,184111,0.0,4,0.0,184111,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,5.0,0.0
48,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
49,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
50,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
51,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
52,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
53,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
54,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
55,0.0,184114,0,0.0,0,0.0,3420,0.0,184114,0.0,0,184114,0,0,0,184113,0,184114,8808,184114,16,184114,0.0,4,0.0,184113,4,0.0,0.0,0.0,0.0,0.0,0,132,0.0,0.0,0.0,0.02,6.0,0.0
56,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
57,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
58,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
59,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
60,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
61,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
62,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
63,0.0,184057,0,0.0,0,0.0,3612,0.0,184057,0.0,0,184057,0,0,0,184057,0,184057,8808,184057,8,184057,0.0,0,0.0,184057,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,0.0,1.0
64,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
65,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
66,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
67,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
68,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
69,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
70,0.0,184100,0,0.0,0,0.0,3644,0.0,184100,0.0,0,184100,0,0,0,184059,0,184059,8808,184100,12,184100,0.0,0,0.0,184059,0,0.0,0.0,0.0,0.01,0.0,0,132,0.0,0.0,0.0,0.02,1.0,1.0
