,uid,storage,read_io_bytes,read_io_kbytes,read_bw_bytes,read_bw,read_iops,read_runtime,read_total_ios,read_short_ios,read_drop_ios,read_bw_min,read_bw_max,read_bw_agg,read_bw_mean,read_bw_dev,read_bw_samples,read_iops_min,read_iops_max,read_iops_mean,read_iops_stddev,read_iops_samples,write_io_bytes,write_io_kbytes,write_bw_bytes,write_bw,write_iops,write_runtime,write_total_ios,write_short_ios,write_drop_ios,write_bw_min,write_bw_max,write_bw_agg,write_bw_mean,write_bw_dev,write_bw_samples,write_iops_min,write_iops_max,write_iops_mean,write_iops_stddev,write_iops_samples,trim_io_bytes,trim_io_kbytes,trim_bw_bytes,trim_bw,trim_iops,trim_runtime,trim_total_ios,trim_short_ios,trim_drop_ios,trim_bw_min,trim_bw_max,trim_bw_agg,trim_bw_mean,trim_bw_dev,trim_bw_samples,trim_iops_min,trim_iops_max,trim_iops_mean,trim_iops_stddev,trim_iops_samples
0,1,metrics-fusion,3219128320,3143680,33943443,33147,8286.973576,94838,785920,0,0,3960,66504,100.0,33653.715054,12373.329461,186,990,16626,8413.419355,3093.323963,186,1075838976,1050624,11343965,11078,2769.522765,94838,262656,0,0,1280,21416,100.0,11247.704301,4098.268609,186,320,5354,2811.919355,1024.557565,186,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
1,0,metrics-fusion,3219128320,3143680,33900905,33106,8276.588351,94957,785920,0,0,2672,67384,100.0,33326.839572,12643.571601,187,668,16846,8331.700535,3160.893944,187,1075838976,1050624,11329749,11064,2766.052002,94957,262656,0,0,736,22032,100.0,11136.208556,4187.325826,187,184,5508,2784.048128,1046.836187,187,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
2,4,metrics-filestore,3219128320,3143680,19127208,18678,4669.728641,168301,785920,0,0,16280,24016,99.920156,18664.901786,973.649993,336,4070,6004,4666.217262,243.418521,336,1075838976,1050624,6392350,6242,1560.632438,168301,262656,0,0,5944,8104,99.895406,6236.854167,184.227503,336,1486,2026,1559.202381,46.065049,336,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
3,5,metrics-csi,78778368,76932,634174,619,154.827647,124222,19233,0,0,328,976,100.0,623.186992,129.927945,246,82,244,155.784553,32.489093,246,26079232,25468,209940,205,51.255011,124222,6367,0,0,96,320,100.0,206.280488,44.647538,246,24,80,51.54878,11.167174,246,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
4,4,metrics-fusion,3219128320,3143680,34544080,33734,8433.613409,93189,785920,0,0,2144,67992,100.0,34247.15847,12729.901781,183,536,16998,8561.775956,3182.484724,183,1075838976,1050624,11544699,11274,2818.530084,93189,262656,0,0,664,23168,100.0,11446.377049,4228.304321,183,166,5792,2861.584699,1057.083699,183,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
5,4,metrics-csi,78778368,76932,637226,622,155.572812,123627,19233,0,0,336,1032,100.0,626.04898,132.286813,245,84,258,156.510204,33.072029,245,26079232,25468,210950,206,51.501695,123627,6367,0,0,96,328,100.0,207.310204,43.56926,245,24,82,51.82449,10.896956,245,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
6,5,metrics-filestore,3219128320,3143680,19133347,18684,4671.227422,168247,785920,0,0,16496,25616,99.946967,18675.571429,1007.225908,336,4124,6404,4668.892857,251.806477,336,1075838976,1050624,6394402,6244,1561.133334,168247,262656,0,0,5856,8360,99.911391,6239.827381,202.317026,336,1464,2090,1559.952381,50.578954,336,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
7,0,metrics-filestore,3219128320,3143680,19129140,18680,4670.200376,168284,785920,0,0,16312,24616,99.92077,18666.794643,994.146454,336,4078,6154,4666.690476,248.536263,336,1075838976,1050624,6392996,6243,1560.790093,168284,262656,0,0,5880,8216,99.90133,6237.764881,199.496698,336,1470,2054,1559.428571,49.868432,336,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
8,3,metrics-filestore,3219128320,3143680,19133347,18684,4671.227422,168247,785920,0,0,15856,24912,99.941615,18674.702381,974.538642,336,3964,6228,4668.696429,243.611564,336,1075838976,1050624,6394402,6244,1561.133334,168247,262656,0,0,5944,8680,99.927405,6240.532738,204.626311,336,1486,2170,1560.125,51.156557,336,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
9,1,metrics-csi,78778368,76932,563858,550,137.660776,139713,19233,0,0,168,1056,100.0,553.480144,123.169454,277,42,264,138.364621,30.793737,277,26079232,25468,186662,182,45.571994,139713,6367,0,0,56,312,100.0,183.209386,41.522731,277,14,78,45.794224,10.39148,277,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
10,3,metrics-fusion,3219128320,3143680,34532222,33722,8430.7184,93221,785920,0,0,10012,69488,100.0,34211.491803,12645.215021,183,2503,17372,8552.830601,3161.306448,183,1075838976,1050624,11540736,11270,2817.562566,93221,262656,0,0,3262,23192,100.0,11434.218579,4193.448483,183,815,5798,2858.519126,1048.357611,183,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
11,3,metrics-csi,78778368,76932,614711,600,150.07608,128155,19233,0,0,280,968,100.0,603.787402,131.24669,254,70,242,150.933071,32.817128,254,26079232,25468,203497,198,49.682026,128155,6367,0,0,48,336,100.0,199.854331,43.376084,254,12,84,49.948819,10.835517,254,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
12,2,metrics-fusion,3219128320,3143680,34654153,33841,8460.486797,92893,785920,0,0,3171,75128,100.0,34491.331492,12460.063998,181,792,18782,8622.823204,3115.020052,181,1075838976,1050624,11581485,11310,2827.511223,92893,262656,0,0,1011,24920,100.0,11526.381215,4144.746348,181,252,6230,2881.585635,1036.189799,181,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
13,1,metrics-filestore,3219128320,3143680,19126981,18678,4669.673149,168303,785920,0,0,15784,24368,99.921341,18664.866071,980.387059,336,3946,6092,4666.21131,245.098737,336,1075838976,1050624,6392274,6242,1560.613893,168303,262656,0,0,5912,7936,99.896594,6236.672619,192.407466,336,1478,1984,1559.157738,48.103453,336,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
14,5,metrics-fusion,3219128320,3143680,34108161,33308,8327.187964,94380,785920,0,0,7144,64880,100.0,33669.096774,11676.727165,186,1786,16220,8417.274194,2919.181791,186,1075838976,1050624,11399014,11131,2782.962492,94380,262656,0,0,2624,21160,100.0,11253.096774,3864.76164,186,656,5290,2813.274194,966.19041,186,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
15,0,metrics-csi,78778368,76932,563858,550,137.660776,139713,19233,0,0,168,1056,100.0,553.480144,123.169454,277,42,264,138.364621,30.793737,277,26079232,25468,186662,182,45.571994,139713,6367,0,0,56,312,100.0,183.209386,41.522731,277,14,78,45.794224,10.39148,277,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
16,2,metrics-filestore,3219128320,3143680,19130277,18681,4670.477911,168274,785920,0,0,16448,24480,99.904126,18664.122024,953.965123,336,4110,6120,4666.071429,238.533131,336,1075838976,1050624,6393376,6243,1560.882846,168274,262656,0,0,5920,8168,99.879375,6236.52381,185.426558,336,1480,2042,1559.122024,46.362427,336,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
17,2,metrics-csi,78778368,76932,589676,575,143.963891,133596,19233,0,0,168,952,100.0,578.996226,130.02239,265,42,238,144.743396,32.507141,265,26079232,25468,195209,190,47.658613,133596,6367,0,0,56,312,100.0,191.74717,43.429587,265,14,78,47.928302,10.858881,265,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
